epoch,loss,tracking_error_m,on_target_ratio
0,731.6240,49.676,0.102
1,624.9116,42.188,0.071
2,650.1719,56.644,0.174
3,853.3284,61.549,0.139
4,535.2691,59.303,0.156
5,394.5771,49.402,0.106
6,941.4763,66.918,0.102
7,1402.3921,84.844,0.138
8,1588.4847,101.240,0.075
9,1661.4999,104.978,0.152
10,2413.9348,109.855,0.116
11,2281.6341,109.828,0.058
12,1285.4010,103.531,0.071
13,1823.7443,95.789,0.060
14,1872.9952,97.829,0.054
15,2236.5714,104.994,0.072
16,2826.6123,121.532,0.114
17,3324.5220,122.322,0.155
18,2500.3844,113.267,0.104
19,2092.6555,106.126,0.079
